,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
83,Nuzzo_2015,prevalence of active tb or ltbi among immigrants with some evidence of tb or considered at high risk for developing tb,most immigrants came from Nepal and Philippines and Ethiopia. 4% were diagnosed with active tb and 53% with ltbi. Almost all recieved an completed therapy,ltbi,tb,,,,,prev,0.52778,,,,,,0,1,0,2,2010,2012,surveillance,,USA,2,NA,NA,NA,0,1,
84,Obol_2013,factors associated with the use of insecticide treated nets among pregnant women in a camp for internally displaced persons,only 35% of pregnant women had used the nets. Factors associated with the use were knowledge about the nets and willingsness to purchase one. Adverse factors were divorce/widow/single and hours taken to reach helath centre,,,,malaria,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
85,Odone_2014,burden of tb in EU,25% of tb cases in 2010 in migrants (range: 0.2% to 85.5%); although decrease in general pop. this is not reflected in migrant subpop. (six countries are execptions); native-tb-cases and migrant-tb-cases differ in SES,tb,,,,,,,,,,,,,0,1,1,NA,NA,2012,review & surveillance,,EU,1,NA,NA,NA,0,1,discussion about path of transmission in migrants vs natives
86,Padovese_2013,assess demographics and burden of disease in migrants living in Maltese open centres,most had spend many years in transit before arrival; few infectious diseases; a small number developed active tb while in the centre; ,tb,hiv,,,,,prev,0.00993,0.00406,,,,,0,1,1,NA,2010,2011,surveillance,,Malta,2,4,NA,NA,0,0,low mirbidity burden but social inequalities migration process itself put the health physical mental and social well-being at risk. Especially in hosting and transit countries migrants health is often threatened
87,Pareek_2016,tb burden in low-prevalence countries; different screening methodsincl. cost-eff.,tb usually seen in migrant pop. caused by interaction and reactivation; little transmition to reciving country; common: screening for active tb; increasingly LTBI from high-prev. countries,tb,,,,,,,,,,,,,0,1,1,NA,NA,2014,review,,,0,NA,NA,NA,0,1,dsicussion about active vs latent tb and cost-eff. of each
88,Patel_2014,describe hiv in young people living in post-crisis transit camps,hiv prevalence among women were 15.6% and associated with practicing dry sex and 9.9% among males and associated with non-consensual sexual debut,hiv,,,,,,,,,,,,,0,1,0,2,2010,2010,cross-sectional,,Uganda,NA,NA,NA,NA,NA,NA,
89,Paulino_2016,identify risk factors for TB among native- and foregin-born patients + barriers to management of foreign cases,risk factors differed between native and foreign born. The outcome and time to diagnoses were similar. Most important barrieres were language and fear of deporatation,tb,,,,,,,,,,,,,0,1,1,NA,2008,2012,surveillance,,Portugal,1,NA,NA,NA,0,2,
90,Pavlopoulou_2013,immunisation coverage among children,overall immunisation coverage of traditional vaccines were above 90%. Administration of boosters were delayed. Immigrant status were associated with risk of incomplete and delayed vaccination amongst other for hbv,hbv,,,,,,,,,,,,,0,1,0,1,2010,2011,cross-sectional,,Greece,0,NA,NA,NA,0,1,
91,PerezMolina_2011,describe characteristics and indications for treatment of chronic hbv in a cohort of immigrants,the prevalence of chronic hbv infection were 10.6%. There was an association with sub-Sahran Africa country of birth,hbv,,,,,,,,,,,,,0,1,1,NA,1989,2008,case-control,,Spain,0,NA,NA,NA,0,2,
92,Piccolo_2010,prevalence of hbv in Central Italy,because of increased immigration to EU countries an increase in the prevalence of hbv can be inspected,hbv,,,,,,,,,,,,,0,0,0,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,
